policy_name,session_bin_index,chosen_relative_path,chosen_location,chosen_path_state,reactive_latency_ms,realized_next_latency_ms,retrospective_best_path_latency_ms,decision_gap_ms,retrospective_best_path_match,success_under_budget,decision_time_us,switched_path,pred_forecast,pred_graph,pred_ensemble_mean,pred_ensemble_std,pred_disagreement,pred_simple_fusion,pred_consensus,pred_ensemble_uncertainty,pred_conformal_radius,pred_conformal_uncertainty,pred_disagreement_aware,realized_cumulative_latency_3_ms,retrospective_best_cumulative_latency_3_ms,cumulative_decision_gap_3_ms,cumulative_success_under_budget_3,realized_cumulative_latency_5_ms,retrospective_best_cumulative_latency_5_ms,cumulative_decision_gap_5_ms,cumulative_success_under_budget_5,scenario_name
random,0,inside-out/inactive/ottawa/2025-03-11/ping-fe80::200:5eff:fe00:101-10ms-1h-2025-03-11-02-00-00.txt,ottawa,inactive,33.39461300309598,33.72634322373697,26.33080684596577,7.395536377771197,0,1,372.541,0,34.67996413375113,33.66908645629883,34.26892656569547,3.549008289245796,1.0108776774522994,34.326156946642826,34.629420249878514,38.43451005237123,6.430049435619693,42.61384083911223,36.638686358346064,108.52272801839763,78.26488988022763,30.25783813817,1.0,177.22716379955676,133.00697216751368,44.22019163204308,1.0,in_distribution
random,1,inside-out/active/brisbane/2025-03-20/ping-sydyaus1-2406:2d40:4600:8118::1-10ms-1h-2025-03-20-20-00-00.txt,brisbane,active,51.16257211538461,42.46686196390907,26.055603345280765,16.411258618628302,0,1,288.417,1,43.958288506075405,43.95661926269531,42.07862989604112,3.6234475581915664,0.0016692433800926665,43.95770427089237,43.958205043906396,48.621452466900934,14.379432902190416,62.16295831048196,47.78427656781258,106.78029120817737,80.57293146434048,26.20735974383689,1.0,165.33573305180084,130.84024266629936,34.49549038550148,1.0,in_distribution
random,2,inside-out/active/zambia/2025-03-29/ping--100.64.0.1-10ms-1h-2025-03-29-13-00-00.txt,zambia,active,91.91071992778154,62.30181983621474,31.082618935468677,31.219200900746063,0,0,497.417,1,89.97580933610061,76.55665588378906,84.18712822731923,4.102144519433765,13.419153452311548,85.27910562779157,89.30485166348502,89.11013249852499,9.320885772786125,101.14309099051717,97.86082427127123,219.98752929534143,88.05265359380194,131.9348757015395,0.0,358.389865062119,158.27405037076028,200.1158146913587,0.0,in_distribution
random,3,inside-out/inactive/ottawa/2025-03-11/ping-fe80::200:5eff:fe00:101-10ms-1h-2025-03-11-02-00-00.txt,ottawa,inactive,43.96312473750525,41.1308910472973,41.1308910472973,0.0,1,1,170.041,1,36.51924949529439,36.79172134399414,36.14933037684588,1.2669196926218163,0.2724718486997517,36.614614642339305,36.69635619694923,39.7327615435482,14.379432902190416,53.53192379472076,39.35684477905516,101.3646676135265,101.3646676135265,0.0,1.0,167.52694770020503,167.52694770020503,0.0,1.0,in_distribution
random,5,inside-out/active/victoria/2025-03-26/ping-sttlwax1-2605:59c8:200:4bde::1-10ms-1h-2025-03-26-03-00-00.txt,victoria,active,29.53291632485644,31.04827738515901,27.02560634328358,4.02267104187543,0,1,881.375,1,30.824139775674666,34.71213912963867,30.79005741224908,0.9253399088464377,3.8879993539640054,32.18493954956207,33.35133935575127,33.33741523895268,9.320885772786125,41.99837844352956,35.59349218621644,98.15020956089032,81.21251984303379,16.93768971785653,1.0,160.90580792494256,131.01242033947324,29.893387585469327,1.0,in_distribution
random,6,inside-out/active/seattle/2025-03-06/ping-sttlwax1-2605:59c8:900:facf::1-10ms-1h-2025-03-06-17-00-00.txt,seattle,active,27.02560634328358,27.55897973445143,27.55897973445143,0.0,1,1,848.0,1,24.02323119780067,25.622209548950195,24.090839088867313,0.5828244935120621,1.5989783511495261,24.582873620703005,25.062567126047863,25.78971708211192,6.430049435619693,31.715040256530923,26.484224584273374,77.19515553162272,77.19515553162272,0.0,1.0,136.33075745219745,136.33075745219745,0.0,1.0,in_distribution
random,8,inside-out/active/victoria_hp1_proto2/2025-03-29/ping-sttlwax1-2605:59c8:200:685b::1-10ms-1h-2025-03-29-03-00-00.txt,victoria_hp1_proto2,active,27.188433228180862,24.138108395324124,24.138108395324124,0.0,1,1,339.583,1,25.610759047121974,25.611427307128906,25.85420487844635,0.9103626057785333,0.0006682600069325417,25.610992938124397,25.611193416126476,27.79013250614111,6.430049435619693,33.293964156102525,26.86441591548803,77.51061826201136,77.51061826201136,0.0,1.0,129.33485140533995,129.33485140533995,0.0,1.0,in_distribution
random,9,inside-out/active/zambia/2025-03-29/ping--100.64.0.1-10ms-1h-2025-03-29-13-00-00.txt,zambia,active,52.33055492121489,58.74220734241515,29.599375538329028,29.14283180408612,0,1,229.25,1,62.93587207683595,57.64853286743164,62.745149352254835,2.8969551531235664,5.287339209404308,61.08530335354444,62.67150511636573,68.02465523697926,14.379432902190416,80.42209449890811,68.42196424094962,193.98858931072365,77.22455238440295,116.7640369263207,0.0,321.15105563013316,134.23453537768097,186.9165202524522,0.0,in_distribution
random,10,inside-out/active/slc/2025-03-04/ping-sltyutx1-2605:59c0:3000:543a::1-10ms-1h-2025-03-04-15-00-00.txt,slc,active,25.58808267370273,31.13088147111733,26.86275224896669,4.268129222150641,0,1,274.375,1,26.581734717045038,27.734506607055664,26.568311461071673,0.9580483573603215,1.1527718900106265,26.985204878548757,27.331036445551945,28.45369656803345,3.7214042702754533,31.469987826262027,28.613162473494544,83.08213277101424,78.94008463927621,4.142048131738036,1.0,144.58525046531204,132.5589696276024,12.026280837709635,1.0,in_distribution
random,11,inside-out/inactive/dallas/2025-03-08/ping-chcoilx1-fe80::200:5eff:fe00:101-10ms-1h-2025-03-08-15-00-00.txt,dallas,inactive,38.84,48.67618,48.67618,0.0,1,1,158.209,1,45.25134408829854,44.11023712158203,45.11437666240014,2.364094171403956,1.1411069667165066,44.85195664994776,45.19428873996271,49.52778078269381,14.379432902190416,62.27111048222966,48.40517571506166,140.03959751587593,140.03959751587593,0.0,1.0,223.74304791746152,223.74304791746152,0.0,1.0,in_distribution
