policy_name,session_bin_index,chosen_relative_path,chosen_location,chosen_path_state,reactive_latency_ms,realized_next_latency_ms,retrospective_best_path_latency_ms,decision_gap_ms,retrospective_best_path_match,success_under_budget,decision_time_us,pred_forecast,pred_graph,pred_ensemble_mean,pred_ensemble_std,pred_disagreement,pred_simple_fusion,pred_consensus,pred_ensemble_uncertainty,pred_disagreement_aware,scenario_name
random,0,inside-out/active/bruhl/2025-03-02/ping-frntdeu1-2a0d:3341:b100:1e99::1-10ms-1h-2025-03-02-07-00-00.txt,bruhl,active,22.35437116564417,21.621100691016785,21.621100691016785,0.0,1,1,1330.459,22.639834452872492,24.030410766601562,23.332143990800127,0.6579667711109141,1.3905763137290705,23.126536162677667,23.543709056796388,25.125288670114493,24.982436289150474,in_distribution
random,1,inside-out/active/brisbane/2025-03-20/ping-sydyaus1-2406:2d40:4600:8118::1-10ms-1h-2025-03-20-08-00-00.txt,brisbane,active,35.85644411836635,32.10732538330494,21.99285535848114,10.114470024823799,0,1,296.541,32.01201180126009,34.07859802246094,32.96506496782746,0.8686928280148625,2.0665862212008506,32.73531697868039,33.355292845040644,36.17646247105966,36.12182934938178,in_distribution
random,2,inside-out/active/brisbane/2025-03-22/ping-sydyaus1-2406:2d40:4600:8118::1-10ms-1h-2025-03-22-14-00-00.txt,brisbane,active,34.015325670498086,32.15715284249767,20.917712833545107,11.239440008952567,0,1,279.583,38.11215248064673,39.215091705322266,36.662479537932946,1.3424227557000494,1.1029392246755378,38.49818120928316,38.82906297668582,39.597953725611305,40.868014020056705,in_distribution
random,3,inside-out/active/brisbane/2025-03-29/ping--2406:2d40:4600:8118::1-10ms-1h-2025-03-29-14-00-00.txt,brisbane,active,37.264363722697055,62.41384918679152,21.87104870775348,40.54280047903804,0,0,262.708,38.96413045259851,38.49993133544922,39.016989649358976,0.4519353939254119,0.46419911714929185,38.80166076159625,38.94092049674104,43.1157242765926,42.93280313710525,in_distribution
random,4,inside-out/active/brisbane/2025-03-30/ping--2406:2d40:4600:8118::1-10ms-1h-2025-03-30-02-00-00.txt,brisbane,active,25.304870129870128,36.39529208774957,27.56826171875,8.827030368999566,0,1,260.583,32.8155344368779,30.977359771728516,33.120383404252365,0.9540604895583263,1.8381746651493813,32.17217330407561,32.72362570362043,35.44770673651621,35.25449100129022,in_distribution
random,5,inside-out/active/brisbane/2025-03-31/ping--2406:2d40:4600:8118::1-10ms-1h-2025-03-31-02-00-00.txt,brisbane,active,34.113810982795194,33.901887705711516,20.876281257737062,13.025606447974454,0,1,257.625,36.5664488142138,37.06295394897461,36.713526357558976,0.4446771339795136,0.4965051347608096,36.74022561138008,36.889177151808326,39.25494234913926,39.14673580638006,in_distribution
random,6,inside-out/active/brisbane/2025-03-30/ping--2406:2d40:4600:8118::1-10ms-1h-2025-03-30-20-00-00.txt,brisbane,active,28.6844578313253,27.57585108988489,25.214902058021323,2.3609490318635658,0,1,265.458,32.18416267421071,30.34762191772461,32.42025606900016,0.6138759668684827,1.8365407564861016,31.541373409440574,32.0923356363864,34.660157315958934,34.79010028643686,in_distribution
random,7,inside-out/active/bruhl/2025-03-01/ping-frntdeu1-2a0d:3341:b100:1e99::1-10ms-1h-2025-03-01-19-00-00.txt,bruhl,active,25.90819385460904,33.370493827160495,23.1603478699269,10.210145957233596,0,1,257.208,24.809953988597044,25.440488815307617,24.900923471339425,0.27455262052822754,0.6305348267105728,25.030641177945746,25.21980162595892,26.680578688119816,26.856595860014195,in_distribution
random,8,inside-out/active/brisbane/2025-03-31/ping--2406:2d40:4600:8118::1-10ms-1h-2025-03-31-14-00-00.txt,brisbane,active,38.66540173342703,42.72222222222222,24.18876953125,18.533452690972222,0,1,253.208,39.153773544843716,38.70320510864258,39.412339441153904,0.8249483203126147,0.45056843620113796,38.996074592173315,39.13124512303366,42.725432691692774,42.050911351438636,in_distribution
random,9,inside-out/active/brisbane/2025-03-31/ping--2406:2d40:4600:8118::1-10ms-1h-2025-03-31-14-00-00.txt,brisbane,active,42.72222222222222,34.756639765223774,20.73554078240859,14.021098982815182,0,1,263.542,38.61265803599599,37.14974594116211,39.17582135851522,0.5512218858360066,1.4629120948338823,38.100638802804134,38.5395124312543,42.214010554056465,41.895741259835475,in_distribution
