policy_name,session_bin_index,chosen_relative_path,chosen_location,chosen_path_state,reactive_latency_ms,realized_next_latency_ms,hindsight_best_latency_ms,regret_ms,best_path_match,success_under_budget,decision_time_us,pred_forecast,pred_graph,pred_simple_fusion,pred_consensus
random,50,inside-out/active/slc/2025-03-04/ping-sltyutx1-2605:59c0:3000:543a::1-10ms-1h-2025-03-04-15-00-00.txt,slc,active,29.97415898864367,28.38119390523899,24.821327414922848,3.5598664903161428,0,1,275.834,30.240221998676137,31.407825469970703,30.648883213629237,30.999164255017607
random,51,inside-out/active/manila/2025-03-15/ping-mnlaphl1-100.64.0.1-10ms-1h-2025-03-15-09-00-00.txt,manila,active,29.03862609935821,29.07390317700454,23.931289790143833,5.142613386860706,0,1,229.708,30.6480398827116,29.570362091064453,30.2708526556351,30.594155993129245
random,52,inside-out/active/manila/2025-03-15/ping-mnlaphl1-100.64.0.1-10ms-1h-2025-03-15-09-00-00.txt,manila,active,29.07390317700454,33.34923469387755,24.503920280332895,8.845314413544653,0,1,235.667,33.24031567808561,32.14046859741211,32.85536919984988,33.18532332405193
random,53,inside-out/active/minneapolis/2025-03-29/ping-mplsmnx1-2605:59ca:1300:1efc::1-10ms-1h-2025-03-29-01-07-29.txt,minneapolis,active,36.18410404624277,34.45661118816459,23.856429078853896,10.60018210931069,0,1,275.584,34.950312629764085,32.447452545166016,34.07431160015476,34.82516962553418
random,54,inside-out/active/minneapolis/2025-03-29/ping-mplsmnx1-2605:59ca:1300:1efc::1-10ms-1h-2025-03-29-01-07-29.txt,minneapolis,active,34.45661118816459,30.177841179267713,27.7909751924722,2.386865986795513,0,1,223.583,31.22494239961816,33.012386322021484,31.850547772459322,32.38678094918032
random,55,inside-out/active/seattle/2025-03-06/ping-sttlwax1-2605:59c8:900:facf::1-10ms-1h-2025-03-06-17-00-00.txt,seattle,active,29.045368171021376,28.10347123157394,25.46674280493376,2.6367284266401825,0,1,211.416,28.833901700476417,28.86346435546875,28.844248629723737,28.853117426221438
random,56,inside-out/active/seattle/2025-03-06/ping-sttlwax1-2605:59c8:900:facf::1-10ms-1h-2025-03-06-17-00-00.txt,seattle,active,28.10347123157394,28.3486216730038,25.23971631205674,3.1089053609470625,0,1,203.375,29.371852034761105,29.50044631958008,29.416860034447748,29.45543831989344
random,57,inside-out/active/slc/2025-03-04/ping-sltyutx1-2605:59c0:3000:543a::1-10ms-1h-2025-03-04-15-00-00.txt,slc,active,26.574046490634167,38.57746012015745,26.200651139494116,12.37680898066333,0,1,201.542,27.75603450075141,28.20023727416992,27.91150547144789,28.04476630347344
random,58,inside-out/active/victoria/2025-03-26/ping-sttlwax1-2605:59c8:200:4bde::1-10ms-1h-2025-03-26-03-00-00.txt,victoria,active,34.9590027700831,34.16896630758652,25.305642420122364,8.863323887464158,0,1,204.917,32.732683914240624,34.85225296020508,33.474533080328186,34.11040379411752
random,59,inside-out/inactive/ottawa/2025-03-11/ping-fe80::200:5eff:fe00:101-10ms-1h-2025-03-11-02-00-00.txt,ottawa,inactive,35.705668103448275,46.8,23.836363636363636,22.96363636363636,0,1,225.916,36.87303592308308,35.89298629760742,36.5300185541666,36.8240334418093
random,101,inside-out/active/ulukhaktok/2025-03-28/ping-sttlwax1-2605:59c8:600:e773::1-10ms-2h-2025-03-28-12-00-00.txt,ulukhaktok,active,40.09441024378232,51.215766423357664,47.807699805068225,3.408066618289439,0,1,174.208,47.24166477032122,57.67058944702149,50.89178840716632,54.0204658101764
random,102,inside-out/active/ulukhaktok/2025-03-28/ping-sttlwax1-2605:59c8:600:e773::1-10ms-2h-2025-03-28-12-00-00.txt,ulukhaktok,active,51.215766423357664,54.13256547041707,43.33035672100166,10.802208749415414,0,1,163.833,50.92175729978044,54.977508544921875,52.34127023557994,53.55799560912237
